,n_train,smooth,depth,width,lr,best_epoch,R2,MSE
96,16.0,0.01,1.0,3.0,0.0001,0.0,-132.12083435058594,450.2492980957031
97,16.0,0.01,1.0,3.0,0.001,0.0,-1524.05517578125,5158.13330078125
98,16.0,0.01,1.0,3.0,0.01,3.0,-78.6312026977539,269.33343505859375
99,16.0,0.01,1.0,4.0,0.0001,0.0,-1524.05517578125,5158.13330078125
100,16.0,0.01,1.0,4.0,0.001,0.0,-1524.05517578125,5158.13330078125
101,16.0,0.01,1.0,4.0,0.01,15.0,-260.1729431152344,883.3547973632812
102,16.0,0.01,1.0,16.0,0.0001,262.0,-89.32123565673828,305.48992919921875
103,16.0,0.01,1.0,16.0,0.001,55.0,-618.477783203125,2095.235107421875
104,16.0,0.01,1.0,16.0,0.01,0.0,-1524.05517578125,5158.13330078125
105,16.0,0.01,1.0,32.0,0.0001,0.0,-1524.05517578125,5158.13330078125
106,16.0,0.01,1.0,32.0,0.001,0.0,-170.90158081054688,581.4158325195312
107,16.0,0.01,1.0,32.0,0.01,0.0,-1524.05517578125,5158.13330078125
108,16.0,0.01,2.0,3.0,0.0001,919.0,-106.30620574951172,362.9375
109,16.0,0.01,2.0,3.0,0.001,147.0,-71.88459014892578,246.51463317871094
110,16.0,0.01,2.0,3.0,0.01,26.0,-137.29476928710938,467.7488708496094
111,16.0,0.01,2.0,4.0,0.0001,796.0,-100.67507934570312,343.8915710449219
112,16.0,0.01,2.0,4.0,0.001,0.0,-1524.05517578125,5158.13330078125
113,16.0,0.01,2.0,4.0,0.01,10364.0,-1.008817434310913,6.794342994689941
114,16.0,0.01,2.0,16.0,0.0001,0.0,-1524.05517578125,5158.13330078125
115,16.0,0.01,2.0,16.0,0.001,0.0,-173.49786376953125,590.1971435546875
116,16.0,0.01,2.0,16.0,0.01,8.0,-365.1290588378906,1238.34375
117,16.0,0.01,2.0,32.0,0.0001,0.0,-1524.05517578125,5158.13330078125
118,16.0,0.01,2.0,32.0,0.001,0.0,-1524.05517578125,5158.13330078125
119,16.0,0.01,2.0,32.0,0.01,0.0,-1524.05517578125,5158.13330078125
120,16.0,0.01,3.0,3.0,0.0001,1340.0,-144.06568908691406,490.64990234375
121,16.0,0.01,3.0,3.0,0.001,0.0,-1524.05517578125,5158.13330078125
122,16.0,0.01,3.0,3.0,0.01,3.0,-126.81895446777344,432.31695556640625
123,16.0,0.01,3.0,4.0,0.0001,1427.0,-95.09437561035156,325.01617431640625
124,16.0,0.01,3.0,4.0,0.001,0.0,-1524.05517578125,5158.13330078125
125,16.0,0.01,3.0,4.0,0.01,0.0,-168.22691345214844,572.3694458007812
126,16.0,0.01,3.0,16.0,0.0001,367.0,-103.47357940673828,353.3568115234375
127,16.0,0.01,3.0,16.0,0.001,38.0,-102.62310028076172,350.48028564453125
128,16.0,0.01,3.0,16.0,0.01,2.0,-103.26213073730469,352.64166259765625
129,16.0,0.01,3.0,32.0,0.0001,0.0,-1524.05517578125,5158.13330078125
130,16.0,0.01,3.0,32.0,0.001,3.0,-120.00860595703125,409.2825927734375
131,16.0,0.01,3.0,32.0,0.01,0.0,-1524.05517578125,5158.13330078125
132,16.0,0.01,4.0,3.0,0.0001,0.0,-1524.05517578125,5158.13330078125
133,16.0,0.01,4.0,3.0,0.001,0.0,-1524.05517578125,5158.13330078125
134,16.0,0.01,4.0,3.0,0.01,0.0,-1522.7520751953125,5153.72607421875
135,16.0,0.01,4.0,4.0,0.0001,0.0,-1508.690673828125,5106.16650390625
136,16.0,0.01,4.0,4.0,0.001,25069.0,0.11222422122955322,3.0026886463165283
137,16.0,0.01,4.0,4.0,0.01,0.0,-1524.05517578125,5158.13330078125
138,16.0,0.01,4.0,16.0,0.0001,370.0,-111.94892883300781,382.02264404296875
139,16.0,0.01,4.0,16.0,0.001,0.0,-1524.05517578125,5158.13330078125
140,16.0,0.01,4.0,16.0,0.01,0.0,-1482.7677001953125,5018.48828125
141,16.0,0.01,4.0,32.0,0.0001,138.0,-114.30452728271484,389.9898986816406
142,16.0,0.01,4.0,32.0,0.001,0.0,-1524.05517578125,5158.13330078125
143,16.0,0.01,4.0,32.0,0.01,0.0,-1524.05517578125,5158.13330078125
144,32.0,0.0,1.0,3.0,0.0001,282.0,-152.7254638671875,517.0097045898438
145,32.0,0.0,1.0,3.0,0.001,209.0,-73.02175903320312,248.95008850097656
146,32.0,0.0,1.0,3.0,0.01,0.0,-1533.6947021484375,5161.48779296875
147,32.0,0.0,1.0,4.0,0.0001,0.0,-218.06973266601562,736.7756958007812
148,32.0,0.0,1.0,4.0,0.001,0.0,-1533.6947021484375,5161.48779296875
149,32.0,0.0,1.0,4.0,0.01,0.0,-1533.6947021484375,5161.48779296875
150,32.0,0.0,1.0,16.0,0.0001,2780.0,-0.0015565156936645508,3.368436336517334
151,32.0,0.0,1.0,16.0,0.001,329.0,-1.5837712287902832,8.689743041992188
152,32.0,0.0,1.0,16.0,0.01,1279.0,0.21213454008102417,2.6497504711151123
153,32.0,0.0,1.0,32.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
154,32.0,0.0,1.0,32.0,0.001,1175.0,-0.8371933698654175,6.17885160446167
155,32.0,0.0,1.0,32.0,0.01,0.0,-1533.6947021484375,5161.48779296875
156,32.0,0.0,2.0,3.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
157,32.0,0.0,2.0,3.0,0.001,0.0,-1533.6947021484375,5161.48779296875
158,32.0,0.0,2.0,3.0,0.01,0.0,-1533.6947021484375,5161.48779296875
159,32.0,0.0,2.0,4.0,0.0001,34737.0,-1.3400111198425293,7.869929313659668
160,32.0,0.0,2.0,4.0,0.001,0.0,-1533.6923828125,5161.4794921875
161,32.0,0.0,2.0,4.0,0.01,0.0,-1533.6947021484375,5161.48779296875
162,32.0,0.0,2.0,16.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
163,32.0,0.0,2.0,16.0,0.001,755.0,-2.75077223777771,12.614603042602539
164,32.0,0.0,2.0,16.0,0.01,77.0,-1.8639183044433594,9.63193416595459
165,32.0,0.0,2.0,32.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
166,32.0,0.0,2.0,32.0,0.001,0.0,-1533.6947021484375,5161.48779296875
167,32.0,0.0,2.0,32.0,0.01,174.0,0.8621393442153931,0.46365317702293396
168,32.0,0.0,3.0,3.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
